model,split,R2,MAE,RMSE,gap_R2
Linear Regression,train,0.466647570538958,0.4336635943414155,0.8590541067106476,0.039197100186928124
Linear Regression,test,0.4274504703520299,0.4714190087604402,0.9915554918270648,0.039197100186928124
RandomForest,train,0.6214413576212535,0.3655398077194757,0.7237356440609998,0.14465888714196434
RandomForest,test,0.4767824704792892,0.4603089949401409,0.9478762376932954,0.14465888714196434
XGBoost,train,0.758528952438715,0.3256453816189638,0.5780240552920849,0.2868605343961836
XGBoost,test,0.4716684180425314,0.4723921132779196,0.952497356941829,0.2868605343961836
