experiment,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std
0) LR 7피처 (baseline),0.45523588821001243,0.05770995553800869,0.4427818647460116,0.0207625887434819,0.8865666486764843,0.08851920185567189
1) LR + 상호작용항,0.46467355307473746,0.04535547230863357,0.4267239234952872,0.018178347712885373,0.8786906302504794,0.07599242883195022
3a) Ridge 7피처,0.4552441083523213,0.05769235008898079,0.44289259484670007,0.020756286653463952,0.8865623652387711,0.08852954900550955
3b) Ridge 9피처,0.5714330052409876,0.06809897602223929,0.3562295589654653,0.02268745790166613,0.7863221466684582,0.10205958269919754
